event_id,timestamp,user_id,event_type,ip_address,location,failed_attempts,resource,request_frequency,label
EVT00028,2026-08-27T21:08:07.426382,attacker_002,resource_access,138.109.135.34,KP,0,s3_bucket_finance,43,unauthorized_access
EVT00029,2026-08-27T07:24:49.426382,user_011,resource_access,192.168.91.78,FR,1,ec2_dashboard,3,normal
EVT00030,2026-08-27T02:17:28.426382,attacker_003,api_call,30.54.79.70,KP,0,ec2_admin_portal,37,unauthorized_access
EVT00031,2026-08-27T11:00:13.426382,user_041,resource_access,192.168.33.232,US,0,dynamodb_cache,3,normal
EVT00032,2026-08-27T00:07:29.426382,user_009,api_call,192.168.21.190,DE,1,dynamodb_cache,1,normal
EVT00033,2026-08-27T02:35:34.426382,user_045,login,192.168.48.150,FR,0,cloud_console,4,normal
EVT00034,2026-08-27T03:09:35.426382,user_024,login,192.168.27.175,UK,0,cloud_console,3,normal
EVT00035,2026-08-27T18:54:16.426382,user_018,login,159.79.121.222,IN,7,cloud_console,11,brute_force
EVT00036,2026-08-26T23:25:19.426382,user_022,resource_access,192.168.95.208,UK,0,s3_public_assets,1,normal
EVT00037,2026-08-27T12:26:51.426382,user_046,login,121.113.102.210,KP,10,cloud_console,9,brute_force
EVT00038,2026-08-27T06:48:22.426382,user_043,login,192.168.36.222,US,0,cloud_console,3,normal
EVT00039,2026-08-27T21:52:31.426382,user_044,api_call,192.168.4.30,IN,0,lambda_logging,1,normal
EVT00040,2026-08-27T02:27:59.426382,user_023,api_call,192.168.56.156,FR,0,dynamodb_cache,2,normal
EVT00041,2026-08-27T07:47:37.426382,user_028,login,192.168.69.176,UK,0,cloud_console,4,normal
EVT00042,2026-08-27T01:04:02.426382,attacker_006,api_call,170.63.153.130,KP,0,kms_keys,25,unauthorized_access
EVT00043,2026-08-27T13:10:14.426382,user_036,login,171.194.89.158,FR,0,cloud_console,4,normal
EVT00044,2026-08-27T18:28:10.426382,user_011,login,74.107.220.202,CN,12,cloud_console,12,brute_force
EVT00045,2026-08-27T14:37:05.426382,user_033,resource_access,192.168.95.44,US,0,lambda_logging,1,normal
EVT00046,2026-08-27T07:04:15.426382,user_015,login,12.125.243.157,US,0,cloud_console,4,normal
EVT00047,2026-08-27T21:26:55.426382,user_046,api_call,192.168.52.63,UK,0,ec2_dashboard,4,normal
EVT00048,2026-08-27T06:29:14.426382,user_045,api_call,192.168.72.64,US,0,s3_public_assets,4,normal
EVT00049,2026-08-27T17:51:27.426382,attacker_006,api_call,157.218.228.230,RU,0,kms_keys,29,unauthorized_access
EVT00050,2026-08-27T07:57:23.426382,user_045,login,164.141.248.161,DE,9,cloud_console,12,brute_force
EVT00051,2026-08-27T01:20:26.426382,user_016,resource_access,192.168.70.21,UK,0,s3_public_assets,4,normal
EVT00052,2026-08-27T04:04:59.426382,user_005,resource_access,192.168.70.120,DE,0,s3_public_assets,4,normal
EVT00053,2026-08-27T12:42:00.426382,attacker_001,api_call,123.3.180.77,Unknown,0,kms_keys,32,unauthorized_access
EVT00054,2026-08-27T18:24:13.426382,user_049,login,57.249.112.70,RU,12,cloud_console,5,brute_force
EVT00055,2026-08-27T12:40:39.426382,user_044,resource_access,192.168.60.236,UK,1,ec2_dashboard,4,normal
EVT00056,2026-08-27T20:04:11.426382,user_002,login,192.168.18.222,DE,0,cloud_console,1,normal
EVT00057,2026-08-27T07:59:30.426382,user_014,resource_access,192.168.98.226,DE,0,dynamodb_cache,3,normal
EVT00058,2026-08-27T01:30:06.426382,user_048,api_call,90.114.35.200,US,0,s3_public_assets,2,normal
EVT00059,2026-08-26T23:15:42.426382,user_016,login,192.168.15.145,UK,0,cloud_console,3,normal
EVT00060,2026-08-27T11:57:02.426382,user_039,api_call,192.168.100.210,UK,0,ec2_dashboard,1,normal
EVT00061,2026-08-27T09:52:39.426382,user_025,resource_access,192.168.26.20,FR,0,ec2_dashboard,3,normal
EVT00062,2026-08-27T20:22:48.426382,user_042,login,145.21.177.137,RU,10,cloud_console,6,brute_force
EVT00063,2026-08-27T16:56:28.426382,user_001,resource_access,192.168.14.111,IN,0,s3_public_assets,4,normal
EVT00064,2026-08-27T04:55:57.426382,user_042,resource_access,192.168.69.199,DE,0,dynamodb_cache,3,normal
EVT00065,2026-08-27T10:15:16.426382,user_045,login,23.142.230.63,KP,11,cloud_console,10,brute_force
EVT00066,2026-08-26T23:33:52.426382,user_021,login,192.168.46.205,IN,0,cloud_console,3,normal
EVT00067,2026-08-27T20:13:30.426382,user_018,api_call,49.43.123.185,DE,0,s3_public_assets,4,normal
EVT00068,2026-08-27T22:02:10.426382,user_029,login,57.207.124.79,FR,0,cloud_console,4,normal
EVT00069,2026-08-27T18:40:15.426382,user_028,api_call,192.168.46.180,DE,0,lambda_logging,3,normal
EVT00070,2026-08-27T06:54:48.426382,user_013,resource_access,138.94.98.56,DE,0,lambda_logging,1,normal
EVT00071,2026-08-27T05:35:14.426382,user_024,login,192.168.91.137,UK,0,cloud_console,1,normal
EVT00072,2026-08-27T00:30:17.426382,user_045,login,192.168.97.126,US,0,cloud_console,3,normal
EVT00073,2026-08-27T15:36:35.426382,user_022,login,192.168.33.241,DE,0,cloud_console,1,normal
EVT00074,2026-08-27T13:06:32.426382,user_037,api_call,192.168.20.39,FR,0,ec2_dashboard,2,normal
EVT00075,2026-08-27T02:49:56.426382,user_027,api_call,192.168.80.58,FR,0,dynamodb_cache,4,normal
EVT00076,2026-08-27T09:20:45.426382,user_019,login,79.30.50.243,DE,8,cloud_console,9,brute_force
EVT00077,2026-08-27T01:28:32.426382,user_012,api_call,1.209.230.177,FR,0,lambda_logging,1,normal
EVT00078,2026-08-27T06:56:51.426382,user_019,api_call,192.168.10.176,UK,0,s3_public_assets,4,normal
EVT00079,2026-08-27T02:41:54.426382,user_042,login,192.168.19.19,US,0,cloud_console,3,normal
EVT00080,2026-08-27T20:11:04.426382,user_037,resource_access,192.168.60.177,IN,0,lambda_logging,4,normal
EVT00081,2026-08-27T14:27:28.426382,user_003,resource_access,192.168.78.65,US,0,s3_public_assets,1,normal
EVT00082,2026-08-27T08:19:56.426382,user_049,login,192.168.84.114,IN,0,cloud_console,4,normal
EVT00083,2026-08-27T21:37:53.426382,attacker_006,login,121.178.209.86,CN,6,cloud_console,7,brute_force
EVT00084,2026-08-27T10:31:39.426382,user_032,resource_access,192.168.52.209,FR,0,dynamodb_cache,1,normal
EVT00085,2026-08-27T09:58:15.426382,user_008,resource_access,192.168.1.169,FR,0,dynamodb_cache,1,normal
EVT00086,2026-08-27T05:20:57.426382,user_040,resource_access,192.168.98.14,UK,0,s3_public_assets,3,normal
EVT00087,2026-08-27T14:28:15.426382,user_023,login,32.14.122.182,IN,9,cloud_console,13,brute_force
EVT00088,2026-08-26T23:01:03.426382,user_006,login,192.168.15.119,US,0,cloud_console,4,normal
EVT00089,2026-08-27T09:08:45.426382,user_018,resource_access,192.168.61.63,DE,1,s3_public_assets,4,normal
EVT00090,2026-08-27T05:27:34.426382,attacker_009,resource_access,222.35.141.198,Unknown,0,iam_policy_manager,44,unauthorized_access
EVT00091,2026-08-27T17:00:21.426382,user_001,resource_access,192.168.76.149,DE,0,dynamodb_cache,4,normal
EVT00092,2026-08-27T11:05:07.426382,user_049,api_call,192.168.42.223,UK,0,dynamodb_cache,2,normal
EVT00093,2026-08-27T13:28:32.426382,user_048,resource_access,192.168.49.99,UK,0,ec2_dashboard,2,normal
EVT00094,2026-08-27T16:48:27.426382,attacker_006,resource_access,217.225.51.135,Unknown,0,s3_bucket_finance,38,unauthorized_access
EVT00095,2026-08-27T03:46:05.426382,user_042,login,201.135.173.160,DE,0,cloud_console,3,normal
EVT00096,2026-08-27T17:56:53.426382,user_021,api_call,192.168.98.125,FR,0,ec2_dashboard,2,normal
EVT00097,2026-08-27T21:29:58.426382,user_019,login,192.168.56.251,US,0,cloud_console,4,normal
EVT00098,2026-08-27T04:34:36.426382,user_002,login,192.168.8.76,IN,0,cloud_console,4,normal
EVT00099,2026-08-27T03:49:11.426382,user_027,api_call,192.168.24.44,UK,0,dynamodb_cache,2,normal
EVT00100,2026-08-27T16:38:21.426382,attacker_003,resource_access,119.130.235.66,CN,0,kms_keys,43,unauthorized_access
EVT00101,2026-08-27T08:59:31.426382,user_011,login,192.168.45.253,FR,0,cloud_console,4,normal
EVT00102,2026-08-27T07:37:31.426382,user_020,login,192.168.62.28,UK,0,cloud_console,3,normal
EVT00103,2026-08-27T19:26:52.426382,user_045,resource_access,213.202.140.3,FR,0,dynamodb_cache,3,normal
EVT00104,2026-08-27T06:53:53.426382,user_023,login,192.168.80.65,UK,0,cloud_console,1,normal
EVT00105,2026-08-27T09:46:03.426382,attacker_003,login,149.186.67.24,FR,10,cloud_console,11,brute_force
EVT00106,2026-08-27T04:54:52.426382,user_035,resource_access,192.168.35.213,UK,0,dynamodb_cache,3,normal
EVT00107,2026-08-27T10:51:07.426382,user_021,login,20.72.115.221,RU,10,cloud_console,6,brute_force
EVT00108,2026-08-27T12:53:08.426382,user_035,login,192.168.87.192,IN,1,cloud_console,4,normal
EVT00109,2026-08-27T21:46:06.426382,attacker_002,resource_access,121.12.167.235,RU,0,s3_bucket_finance,35,unauthorized_access
EVT00110,2026-08-27T15:25:23.426382,attacker_005,api_call,30.71.23.243,CN,0,iam_policy_manager,30,unauthorized_access
EVT00111,2026-08-27T02:44:51.426382,user_035,login,192.168.48.172,FR,0,cloud_console,2,normal
EVT00112,2026-08-27T13:37:30.426382,user_032,api_call,192.168.36.9,IN,0,dynamodb_cache,4,normal
EVT00113,2026-08-27T07:06:58.426382,attacker_007,login,176.188.183.16,RU,9,cloud_console,8,brute_force
EVT00114,2026-08-27T02:58:02.426382,attacker_008,resource_access,170.108.10.13,KP,0,ec2_admin_portal,19,unauthorized_access
EVT00115,2026-08-27T19:04:31.426382,user_049,api_call,56.119.168.199,UK,1,ec2_dashboard,3,normal
EVT00116,2026-08-27T03:47:15.426382,attacker_009,api_call,205.89.56.170,CN,0,ec2_admin_portal,15,unauthorized_access
EVT00117,2026-08-27T11:33:46.426382,user_007,login,151.165.8.45,FR,5,cloud_console,7,brute_force
EVT00118,2026-08-27T13:50:47.426382,user_048,login,192.168.100.93,FR,1,cloud_console,1,normal
EVT00119,2026-08-27T14:58:36.426382,user_040,login,192.168.85.134,IN,0,cloud_console,1,normal
EVT00120,2026-08-27T00:44:03.426382,attacker_007,api_call,176.55.251.183,Unknown,0,s3_bucket_finance,43,unauthorized_access
EVT00121,2026-08-27T01:27:40.426382,user_010,login,160.166.195.153,FR,0,cloud_console,4,normal
EVT00122,2026-08-27T16:55:34.426382,user_007,api_call,168.110.220.116,UK,0,lambda_logging,4,normal
EVT00123,2026-08-27T13:02:13.426382,user_007,resource_access,192.168.86.66,IN,0,dynamodb_cache,1,normal
EVT00124,2026-08-27T01:50:28.426382,attacker_006,login,111.49.190.208,IN,5,cloud_console,14,brute_force
EVT00125,2026-08-27T18:57:59.426382,user_043,login,192.168.86.241,DE,0,cloud_console,3,normal
EVT00126,2026-08-27T20:22:47.426382,user_007,api_call,192.168.20.169,DE,0,ec2_dashboard,3,normal
EVT00127,2026-08-27T18:46:21.426382,user_049,resource_access,192.168.55.217,FR,1,ec2_dashboard,3,normal
EVT00128,2026-08-26T23:34:25.426382,user_045,resource_access,192.168.45.2,UK,0,dynamodb_cache,1,normal
EVT00129,2026-08-27T03:41:06.426382,user_002,login,192.168.28.97,DE,0,cloud_console,3,normal
EVT00130,2026-08-27T04:15:02.426382,user_047,resource_access,192.168.73.153,US,0,s3_public_assets,2,normal
EVT00131,2026-08-27T21:00:52.426382,user_006,resource_access,192.168.55.125,FR,0,dynamodb_cache,3,normal
EVT00132,2026-08-27T06:22:06.426382,attacker_008,login,89.220.56.73,KP,9,cloud_console,5,brute_force
EVT00133,2026-08-27T06:32:54.426382,user_039,login,78.108.70.196,IN,0,cloud_console,3,normal
EVT00134,2026-08-27T02:53:17.426382,user_048,resource_access,98.117.181.19,DE,0,dynamodb_cache,1,normal
EVT00135,2026-08-27T15:15:31.426382,attacker_006,api_call,147.207.213.75,CN,0,kms_keys,15,unauthorized_access
EVT00136,2026-08-27T10:20:39.426382,user_040,resource_access,192.168.47.23,DE,0,s3_public_assets,4,normal
EVT00137,2026-08-27T19:57:35.426382,user_006,resource_access,192.168.96.87,UK,0,s3_public_assets,1,normal
EVT00138,2026-08-27T17:06:21.426382,user_034,api_call,199.178.179.187,UK,0,ec2_dashboard,2,normal
EVT00139,2026-08-27T07:50:21.426382,user_039,login,192.168.84.20,UK,0,cloud_console,4,normal
EVT00140,2026-08-27T19:02:40.426382,user_020,login,175.165.161.39,KP,6,cloud_console,12,brute_force
EVT00141,2026-08-27T14:37:12.426382,user_018,api_call,130.37.158.119,DE,0,ec2_dashboard,3,normal
EVT00142,2026-08-27T08:58:18.426382,user_006,api_call,192.168.50.119,FR,1,ec2_dashboard,4,normal
EVT00143,2026-08-27T19:19:59.426382,user_021,api_call,192.168.20.246,US,0,ec2_dashboard,3,normal
EVT00144,2026-08-27T01:35:24.426382,user_012,login,113.224.81.94,IN,0,cloud_console,4,normal
EVT00145,2026-08-27T13:24:09.426382,user_035,login,154.26.171.17,CN,6,cloud_console,13,brute_force
EVT00146,2026-08-27T12:35:38.426382,user_047,api_call,192.168.78.224,UK,0,ec2_dashboard,2,normal
EVT00147,2026-08-27T11:15:22.426382,user_042,api_call,192.168.17.153,US,0,dynamodb_cache,3,normal
EVT00148,2026-08-27T03:10:21.426382,user_048,api_call,192.168.12.166,DE,1,lambda_logging,1,normal
EVT00149,2026-08-27T11:43:17.426382,user_014,resource_access,192.168.63.50,UK,0,s3_public_assets,1,normal
EVT00150,2026-08-27T09:17:21.426382,attacker_007,login,130.19.172.225,IN,11,cloud_console,7,brute_force
EVT00151,2026-08-27T04:25:37.426382,user_045,api_call,192.168.22.185,DE,0,dynamodb_cache,3,normal
EVT00152,2026-08-27T07:10:04.426382,attacker_005,api_call,60.122.158.248,Unknown,0,ec2_admin_portal,26,unauthorized_access
EVT00153,2026-08-27T19:17:17.426382,attacker_008,api_call,200.195.214.248,RU,0,ec2_admin_portal,40,unauthorized_access
EVT00154,2026-08-27T20:32:05.426382,user_017,login,192.168.48.142,US,1,cloud_console,1,normal
EVT00155,2026-08-27T08:53:54.426382,user_011,resource_access,192.168.66.38,DE,0,s3_public_assets,4,normal
EVT00156,2026-08-27T11:14:51.426382,attacker_007,resource_access,102.191.120.99,CN,0,iam_policy_manager,22,unauthorized_access
EVT00157,2026-08-26T23:32:45.426382,user_007,api_call,192.168.19.36,US,0,dynamodb_cache,2,normal
EVT00158,2026-08-27T15:35:58.426382,user_001,login,56.76.216.29,IN,0,cloud_console,3,normal
EVT00159,2026-08-27T02:57:21.426382,user_027,api_call,192.168.59.17,US,0,ec2_dashboard,2,normal
EVT00160,2026-08-27T03:44:49.426382,user_001,api_call,192.168.74.107,UK,0,lambda_logging,1,normal
EVT00161,2026-08-27T17:40:22.426382,user_033,api_call,121.22.198.252,IN,0,ec2_dashboard,3,normal
EVT00162,2026-08-27T00:58:46.426382,user_047,api_call,192.168.99.149,IN,0,ec2_dashboard,3,normal
EVT00163,2026-08-27T18:23:58.426382,user_042,login,192.168.88.119,DE,0,cloud_console,2,normal
EVT00164,2026-08-27T00:49:01.426382,user_030,login,12.102.21.81,IN,1,cloud_console,4,normal
EVT00165,2026-08-27T18:17:27.426382,user_003,api_call,92.24.169.70,US,0,dynamodb_cache,4,normal
EVT00166,2026-08-27T14:31:48.426382,user_016,login,87.95.254.178,KP,10,cloud_console,13,brute_force
EVT00167,2026-08-27T08:13:50.426382,user_038,login,109.40.220.155,IN,9,cloud_console,10,brute_force
EVT00168,2026-08-27T02:15:18.426382,user_043,resource_access,192.168.78.184,DE,0,dynamodb_cache,3,normal
EVT00169,2026-08-27T14:47:57.426382,user_023,api_call,192.168.36.164,US,0,dynamodb_cache,3,normal
EVT00170,2026-08-27T17:12:02.426382,user_035,login,41.15.73.218,KP,5,cloud_console,7,brute_force
EVT00171,2026-08-27T00:58:03.426382,user_042,resource_access,192.168.73.9,FR,0,dynamodb_cache,3,normal
EVT00172,2026-08-27T12:03:51.426382,user_005,api_call,94.203.160.167,IN,0,ec2_dashboard,1,normal
EVT00173,2026-08-27T05:17:36.426382,user_025,api_call,199.133.228.55,FR,0,dynamodb_cache,2,normal
EVT00174,2026-08-27T02:59:05.426382,user_005,resource_access,183.227.44.208,IN,0,ec2_dashboard,3,normal
EVT00175,2026-08-27T09:26:26.426382,user_037,login,182.89.185.131,DE,6,cloud_console,8,brute_force
EVT00176,2026-08-27T03:34:33.426382,user_032,login,192.168.74.95,DE,1,cloud_console,2,normal
EVT00177,2026-08-27T20:48:00.426382,attacker_005,login,80.203.245.135,RU,11,cloud_console,14,brute_force
EVT00178,2026-08-27T01:12:17.426382,user_021,api_call,120.176.65.225,FR,1,s3_public_assets,2,normal
EVT00179,2026-08-27T14:16:15.426382,user_004,login,192.168.39.43,UK,0,cloud_console,2,normal
EVT00180,2026-08-27T11:07:04.426382,attacker_009,api_call,217.40.128.51,KP,0,ec2_admin_portal,35,unauthorized_access
EVT00181,2026-08-27T09:32:42.426382,user_006,api_call,192.168.76.242,FR,0,s3_public_assets,3,normal
EVT00182,2026-08-27T19:02:25.426382,user_002,login,165.135.107.197,FR,0,cloud_console,1,normal
EVT00183,2026-08-27T16:39:09.426382,user_026,login,75.154.247.63,RU,9,cloud_console,12,brute_force
EVT00184,2026-08-27T01:10:35.426382,user_011,resource_access,192.168.60.53,IN,1,s3_public_assets,3,normal
EVT00185,2026-08-27T10:08:44.426382,user_023,resource_access,95.54.163.62,DE,0,lambda_logging,4,normal
EVT00186,2026-08-27T07:32:46.426382,user_004,resource_access,192.168.79.108,UK,0,lambda_logging,3,normal
EVT00187,2026-08-27T05:25:52.426382,user_023,login,132.239.255.226,FR,12,cloud_console,5,brute_force
EVT00188,2026-08-27T01:47:53.426382,attacker_009,api_call,62.110.180.13,CN,0,iam_policy_manager,30,unauthorized_access
EVT00189,2026-08-27T20:16:28.426382,user_033,login,173.240.146.138,US,6,cloud_console,11,brute_force
EVT00190,2026-08-27T03:23:46.426382,user_038,login,94.206.187.12,RU,5,cloud_console,14,brute_force
EVT00191,2026-08-27T18:58:29.426382,user_036,resource_access,130.230.143.212,FR,1,ec2_dashboard,2,normal
EVT00192,2026-08-27T02:02:23.426382,user_022,api_call,192.168.97.37,UK,1,dynamodb_cache,1,normal
EVT00193,2026-08-27T00:10:09.426382,user_046,resource_access,192.168.67.117,UK,1,s3_public_assets,3,normal
EVT00194,2026-08-27T20:50:27.426382,user_026,api_call,192.168.39.152,IN,1,dynamodb_cache,3,normal
EVT00195,2026-08-27T15:48:36.426382,user_015,login,85.56.213.150,FR,5,cloud_console,14,brute_force
EVT00196,2026-08-27T15:47:56.426382,user_042,api_call,192.168.93.14,FR,0,s3_public_assets,4,normal
EVT00197,2026-08-27T03:54:00.426382,user_007,login,9.56.97.5,KP,10,cloud_console,11,brute_force
EVT00198,2026-08-27T04:01:59.426382,user_014,resource_access,192.168.79.236,DE,0,s3_public_assets,2,normal
EVT00199,2026-08-27T18:56:27.426382,user_043,resource_access,192.168.41.245,UK,0,lambda_logging,3,normal
EVT00200,2026-08-27T21:56:30.426382,user_008,login,157.247.98.246,DE,9,cloud_console,13,brute_force
EVT00201,2026-08-27T09:23:15.426382,user_020,resource_access,192.168.89.181,DE,0,dynamodb_cache,3,normal
EVT00202,2026-08-27T18:55:35.426382,attacker_005,api_call,32.194.202.210,KP,0,ec2_admin_portal,24,unauthorized_access
EVT00203,2026-08-27T00:03:04.426382,user_046,login,192.168.57.168,IN,0,cloud_console,2,normal
EVT00204,2026-08-27T05:52:36.426382,user_009,login,144.139.70.28,DE,8,cloud_console,5,brute_force
EVT00205,2026-08-27T17:51:15.426382,user_015,login,85.241.51.175,UK,0,cloud_console,2,normal
EVT00206,2026-08-27T13:20:05.426382,user_031,resource_access,192.168.97.247,IN,0,lambda_logging,1,normal
EVT00207,2026-08-27T01:46:36.426382,user_015,api_call,192.168.5.234,UK,0,s3_public_assets,1,normal
EVT00208,2026-08-27T12:58:25.426382,user_003,login,192.148.19.3,FR,6,cloud_console,10,brute_force
EVT00209,2026-08-27T08:52:49.426382,user_042,api_call,192.168.18.218,FR,0,lambda_logging,2,normal
EVT00210,2026-08-27T02:37:15.426382,user_047,resource_access,192.168.92.48,US,0,lambda_logging,2,normal
EVT00211,2026-08-27T04:54:33.426382,user_041,resource_access,192.168.66.84,US,0,ec2_dashboard,2,normal
EVT00212,2026-08-27T03:38:21.426382,user_016,login,61.228.136.245,IN,0,cloud_console,1,normal
EVT00213,2026-08-27T08:02:33.426382,user_045,login,31.238.157.41,DE,1,cloud_console,3,normal
EVT00214,2026-08-27T02:47:40.426382,user_019,resource_access,192.168.29.246,UK,0,s3_public_assets,4,normal
EVT00215,2026-08-27T20:34:26.426382,user_045,api_call,192.168.97.138,UK,0,ec2_dashboard,4,normal
EVT00216,2026-08-27T17:44:59.426382,user_005,api_call,213.103.76.43,IN,1,dynamodb_cache,1,normal
EVT00217,2026-08-27T05:59:53.426382,user_032,login,192.168.58.208,US,0,cloud_console,2,normal
EVT00218,2026-08-27T17:12:23.426382,user_037,login,192.168.87.207,IN,0,cloud_console,4,normal
EVT00219,2026-08-27T07:47:03.426382,user_039,login,56.37.23.109,CN,6,cloud_console,13,brute_force
EVT00220,2026-08-27T00:42:48.426382,attacker_002,api_call,9.146.209.47,RU,0,kms_keys,26,unauthorized_access
EVT00221,2026-08-27T12:26:43.426382,user_025,resource_access,170.68.178.31,UK,1,dynamodb_cache,2,normal
EVT00222,2026-08-27T06:37:39.426382,user_040,login,6.152.237.173,Unknown,11,cloud_console,13,brute_force
EVT00223,2026-08-27T12:19:43.426382,user_007,login,118.177.79.71,DE,6,cloud_console,5,brute_force
EVT00224,2026-08-27T13:47:01.426382,user_002,login,26.17.228.154,US,0,cloud_console,1,normal
EVT00225,2026-08-27T13:09:56.426382,user_035,login,192.168.100.15,UK,1,cloud_console,3,normal
EVT00226,2026-08-27T07:02:43.426382,user_038,login,148.163.164.61,FR,7,cloud_console,15,brute_force
EVT00227,2026-08-27T17:29:52.426382,user_020,resource_access,152.89.218.143,DE,0,lambda_logging,4,normal
EVT00228,2026-08-27T17:36:53.426382,user_027,resource_access,97.94.242.62,UK,0,s3_public_assets,4,normal
EVT00229,2026-08-27T00:37:03.426382,user_027,api_call,192.168.50.63,IN,0,lambda_logging,1,normal
EVT00230,2026-08-27T14:53:45.426382,attacker_006,login,138.97.26.69,RU,5,cloud_console,6,brute_force
EVT00231,2026-08-27T05:22:13.426382,user_029,login,186.111.245.54,CN,9,cloud_console,5,brute_force
EVT00232,2026-08-27T06:13:53.426382,attacker_002,api_call,63.104.203.235,RU,0,iam_policy_manager,39,unauthorized_access
EVT00233,2026-08-27T08:49:32.426382,user_035,api_call,192.168.34.93,FR,0,dynamodb_cache,1,normal
EVT00234,2026-08-27T15:36:48.426382,user_012,login,53.189.160.106,US,8,cloud_console,7,brute_force
EVT00235,2026-08-26T23:06:36.426382,user_038,api_call,192.168.38.40,UK,0,s3_public_assets,4,normal
EVT00236,2026-08-27T19:15:54.426382,user_023,login,141.172.131.196,KP,12,cloud_console,12,brute_force
EVT00237,2026-08-27T04:38:41.426382,user_023,login,140.250.94.235,FR,0,cloud_console,1,normal
EVT00238,2026-08-27T01:13:33.426382,attacker_001,resource_access,106.70.118.18,RU,0,s3_bucket_finance,21,unauthorized_access
EVT00239,2026-08-27T16:55:58.426382,user_004,api_call,192.168.79.234,DE,0,ec2_dashboard,1,normal
EVT00240,2026-08-27T17:53:49.426382,user_001,login,192.168.36.138,IN,0,cloud_console,4,normal
EVT00241,2026-08-27T05:02:47.426382,user_007,api_call,50.129.181.69,DE,0,lambda_logging,4,normal
EVT00242,2026-08-27T15:13:52.426382,user_045,login,212.41.16.24,DE,0,cloud_console,4,normal
EVT00243,2026-08-27T18:38:34.426382,user_041,login,192.168.11.128,DE,0,cloud_console,1,normal
EVT00244,2026-08-27T17:44:57.426382,attacker_004,resource_access,223.243.138.12,CN,0,iam_policy_manager,43,unauthorized_access
EVT00245,2026-08-27T18:17:27.426382,user_003,login,192.168.41.5,UK,1,cloud_console,2,normal
EVT00246,2026-08-27T13:01:16.426382,attacker_005,resource_access,145.123.199.174,KP,0,kms_keys,39,unauthorized_access
EVT00247,2026-08-27T03:36:54.426382,user_036,login,186.40.177.14,UK,11,cloud_console,8,brute_force
